source,target
france,germany
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
germany,italy
austria,germany
austria,germany
germany,italy
austria,germany
austria,germany
germany,spain
austria,germany
austria,germany
germany,spain
france,spain
france,poland
austria,germany
austria,germany
germany,spain
france,spain
france,poland
austria,germany
germany,spain
france,spain
france,poland
france,poland
france,germany
germany,poland
france,spain
france,poland
france,poland
france,germany
germany,poland
france,poland
france,poland
france,germany
germany,poland
germany,poland
france,poland
france,germany
germany,poland
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
france,germany
germany,poland
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
germany,poland
estonia,germany
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
estonia,latvia
latvia,lithuania
finland,lithuania
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
finland,germany
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
germany,poland
belgium,poland
belgium,netherlands
luxembourg,netherlands
belgium,luxembourg
belgium,denmark
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
belgium,denmark
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,sweden
germany,sweden
france,germany
denmark,norway
denmark,sweden
germany,sweden
france,germany
france,italy
france,italy
germany,italy
france,italy
germany,italy
germany,greece
albania,greece
albania,greece
france,italy
germany,italy
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
germany,italy
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
germany,greece
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
albania,greece
albania,greece
greece,ukraine
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
egypt,libya
belarus,ukraine
belarus,libya
egypt,libya
egypt,libya
egypt,libya
egypt,iraq
egypt,libya
egypt,libya
egypt,libya
egypt,iraq
iraq,japan
germany,japan
egypt,libya
egypt,iraq
iraq,japan
germany,japan
germany,japan
egypt,iraq
iraq,japan
germany,japan
germany,japan
germany,japan
germany,italy
iraq,japan
germany,japan
germany,japan
germany,japan
germany,italy
germany,italy
germany,japan
germany,japan
germany,japan
germany,italy
germany,italy
germany,morocco
algeria,morocco
germany,japan
germany,italy
germany,italy
germany,morocco
algeria,morocco
algeria,italy
germany,italy
germany,italy
germany,morocco
algeria,morocco
algeria,italy
germany,morocco
algeria,morocco
algeria,italy
algeria,morocco
algeria,italy
france,italy
france,italy
france,germany
france,italy
france,germany
france,germany
france,italy
france,germany
france,germany
france,germany
france,germany
france,germany
france,germany
germany,poland
germany,poland
france,germany
france,germany
germany,poland
germany,poland
france,germany
germany,poland
germany,poland
france,germany
germany,poland
germany,poland
germany,japan
germany,poland
germany,japan
germany,japan
germany,japan
germany,japan
germany,japan
germany,japan
germany,japan
japan,thailand
singapore,thailand
germany,japan
germany,japan
japan,thailand
singapore,thailand
japan,singapore
japan,solomon islands
germany,japan
germany,japan
japan,thailand
singapore,thailand
japan,singapore
japan,solomon islands
philippines,solomon islands
japan,philippines
germany,japan
germany,japan
japan,thailand
singapore,thailand
japan,singapore
japan,solomon islands
philippines,solomon islands
japan,philippines
japan,solomon islands
japan,solomon islands
japan,thailand
singapore,thailand
japan,singapore
japan,solomon islands
philippines,solomon islands
japan,philippines
japan,solomon islands
japan,solomon islands
japan,solomon islands
philippines,solomon islands
japan,philippines
japan,solomon islands
japan,solomon islands
india,japan
india,japan
japan,philippines
japan,solomon islands
japan,solomon islands
india,japan
india,japan
japan,solomon islands
india,japan
india,japan
india,japan
india,japan
india,japan
india,japan
japan,poland
japan,poland
japan,poland
germany,poland
japan,poland
germany,poland
germany,japan
germany,poland
germany,japan
france,japan
france,india
india,pakistan
israel,pakistan
israel,south africa
israel,south africa
germany,poland
germany,japan
france,japan
france,india
india,pakistan
israel,pakistan
israel,south africa
israel,south africa
israel,libya
iran,libya
germany,japan
france,japan
france,india
india,pakistan
israel,pakistan
israel,south africa
israel,south africa
israel,libya
iran,libya
germany,iran
france,germany
france,japan
france,india
india,pakistan
israel,pakistan
israel,south africa
israel,south africa
israel,libya
iran,libya
germany,iran
france,germany
france,japan
france,india
india,pakistan
israel,pakistan
israel,south africa
israel,south africa
israel,libya
iran,libya
germany,iran
france,germany
france,japan
india,japan
iran,libya
germany,iran
france,germany
france,japan
india,japan
india,pakistan
pakistan,philippines
france,germany
france,japan
india,japan
india,pakistan
pakistan,philippines
laos,philippines
cambodia,laos
cambodia,kenya
ghana,kenya
india,japan
india,pakistan
pakistan,philippines
laos,philippines
cambodia,laos
cambodia,kenya
ghana,kenya
cape verde,ghana
angola,cape verde
angola,mozambique
india,pakistan
pakistan,philippines
laos,philippines
cambodia,laos
cambodia,kenya
ghana,kenya
cape verde,ghana
angola,cape verde
angola,mozambique
latvia,mozambique
estonia,latvia
estonia,lithuania
finland,lithuania
finland,romania
india,pakistan
pakistan,philippines
laos,philippines
cambodia,laos
cambodia,kenya
ghana,kenya
cape verde,ghana
angola,cape verde
angola,mozambique
latvia,mozambique
estonia,latvia
estonia,lithuania
finland,lithuania
finland,romania
albania,romania
albania,bulgaria
bulgaria,poland
poland,romania
hungary,romania
cambodia,laos
cambodia,kenya
ghana,kenya
cape verde,ghana
angola,cape verde
angola,mozambique
latvia,mozambique
estonia,latvia
estonia,lithuania
finland,lithuania
finland,romania
albania,romania
albania,bulgaria
bulgaria,poland
poland,romania
hungary,romania
hungary,mongolia
cuba,mongolia
angola,cape verde
angola,mozambique
latvia,mozambique
estonia,latvia
estonia,lithuania
finland,lithuania
finland,romania
albania,romania
albania,bulgaria
bulgaria,poland
poland,romania
hungary,romania
hungary,mongolia
cuba,mongolia
canada,cuba
australia,canada
estonia,latvia
estonia,lithuania
finland,lithuania
finland,romania
albania,romania
albania,bulgaria
bulgaria,poland
poland,romania
hungary,romania
hungary,mongolia
cuba,mongolia
canada,cuba
australia,canada
australia,vietnam
albania,bulgaria
bulgaria,poland
poland,romania
hungary,romania
hungary,mongolia
cuba,mongolia
canada,cuba
australia,canada
australia,vietnam
cambodia,vietnam
cuba,mongolia
canada,cuba
australia,canada
australia,vietnam
cambodia,vietnam
cambodia,vietnam
australia,canada
australia,vietnam
cambodia,vietnam
cambodia,vietnam
cuba,vietnam
cambodia,vietnam
cambodia,vietnam
cuba,vietnam
cambodia,vietnam
cuba,vietnam
cuba,japan
cuba,vietnam
cuba,japan
india,japan
cuba,japan
india,japan
india,south africa
cuba,japan
india,japan
india,south africa
rwanda,south africa
india,japan
india,south africa
rwanda,south africa
austria,rwanda
india,south africa
rwanda,south africa
austria,rwanda
austria,poland
rwanda,south africa
austria,rwanda
austria,poland
finland,poland
austria,rwanda
austria,poland
finland,poland
finland,germany
austria,poland
finland,poland
finland,germany
germany,norway
finland,poland
finland,germany
germany,norway
france,norway
finland,germany
germany,norway
france,norway
france,italy
finland,germany
germany,norway
france,norway
france,italy
greece,italy
germany,norway
france,norway
france,italy
greece,italy
germany,greece
france,italy
greece,italy
germany,greece
greece,italy
germany,greece
germany,greece
germany,italy
germany,italy
italy,japan
germany,italy
italy,japan
italy,japan
italy,japan
germany,italy
italy,japan
italy,japan
italy,japan
italy,japan
italy,japan
italy,japan
japan,philippines
italy,japan
italy,japan
japan,philippines
japan,philippines
italy,japan
japan,philippines
japan,philippines
israel,japan
japan,philippines
japan,philippines
israel,japan
japan,philippines
israel,japan
iran,israel
israel,japan
iran,israel
germany,iran
iran,israel
germany,iran
germany,india
iran,israel
germany,iran
germany,india
india,pakistan
germany,iran
germany,india
india,pakistan
pakistan,philippines
germany,india
india,pakistan
pakistan,philippines
afghanistan,philippines
india,pakistan
pakistan,philippines
afghanistan,philippines
afghanistan,romania
india,pakistan
pakistan,philippines
afghanistan,philippines
afghanistan,romania
romania,vietnam
afghanistan,philippines
afghanistan,romania
romania,vietnam
afghanistan,romania
romania,vietnam
lebanon,vietnam
romania,vietnam
lebanon,vietnam
india,lebanon
lebanon,vietnam
india,lebanon
india,singapore
lebanon,vietnam
india,lebanon
india,singapore
india,lebanon
india,singapore
india,singapore
